Cleveland,Cuyahoga,Cleveland,OH,44178,Midwest
Fort Fairfield,Aroostook,Fort Fairfield,ME,4742,Northeast
Little Rock,Pulaski,Little Rock,AR,72231,South
Union City,Fulton,Union City,GA,30291,South
Clemson,Pickens,Clemson,SC,29631,South
Lee,Penobscot,Lee,ME,4455,Northeast
Torbert,Pointe Coupee,Torbert,LA,70781,South
Powderhorn,Gunnison,Powderhorn,CO,81243,West
Garvin,McCurtain,Garvin,OK,74736,South
Laquey,Pulaski,Laquey,MO,65534,Midwest
Goehner,Seward,Goehner,NE,68364,Midwest
Dearing,McDuffie,Dearing,GA,30808,South
San Diego,San Diego,San Diego,CA,92175,West
Coahoma,Howard,Coahoma,TX,79511,South
Saint Petersburg,Pinellas,Saint Petersburg,FL,33734,South
Springtown,Bucks,Springtown,PA,18081,Northeast
Attleboro Falls,Bristol,Attleboro Falls,MA,2763,Northeast
Silver Creek,Wright,Silver Creek,MN,55380,Midwest
Bassett,Kenosha,Bassett,WI,53101,Midwest
Washington,Washington,Washington,PA,15301,Northeast
Custer,Yellowstone,Custer,MT,59024,West
White Plains,Surry,White Plains,NC,27031,South
Walkerton,St. Joseph,Walkerton,IN,46574,Midwest
Washington,District of Columbia,Washington,DC,20380,South
Fairmount,Grant,Fairmount,IN,46928,Midwest
Velpen,Pike,Velpen,IN,47590,Midwest
Toledo,Tama,Toledo,IA,52342,Midwest
Madison,Dane,Madison,WI,53718,Midwest
Eldorado,Saline,Eldorado,IL,62930,Midwest
Saranac Lake,Franklin,Saranac Lake,NY,12983,Northeast
Pearl,Rankin,Pearl,MS,39288,South
Salina,Saline,Salina,KS,67402,Midwest
Welchs Creek,Butler,Welchs Creek,KY,42287,South
Mine Run,Mine Run,Mine Run,VA,22568,South
Salem,Salem,Salem,OR,97317,West
Holmes Beach,Manatee,Holmes Beach,FL,34218,South
Hollywood,Broward,Hollywood,FL,33025,South
Annville,Lebanon,Annville,PA,17003,Northeast
Sturgis,Oktibbeha,Sturgis,MS,39769,South
Athens,Fulton,Athens,IN,46912,Midwest
Greencastle,Franklin,Greencastle,PA,17225,Northeast
Winterset,Madison,Winterset,IA,50273,Midwest
Buffalo,Erie,Buffalo,NY,14272,Northeast
Bostwick,Morgan,Bostwick,GA,30623,South
Brea,Orange,Brea,CA,92821,West
Chester Springs,Chester,Chester Springs,PA,19425,Northeast
Clearview,Clearview,Clearview,OK,74835,South
Rock Spring,Walker,Rock Spring,GA,30739,South
Trona,San Bernardino,Trona,CA,93562,West
Sterling,Sterling,Sterling,VA,22170,South
Creswell,Washington,Creswell,NC,27928,South
Casanova,Casanova,Casanova,VA,22017,South
Ames,Dodge,Ames,NE,68621,Midwest
South Lake Tahoe,El Dorado,South Lake Tahoe,CA,96152,West
Richardson,Dallas,Richardson,TX,75080,South
Portland,Multnomah,Portland,OR,97233,West
Hancock,Addison,Hancock,VT,5748,Northeast
Wardsboro,Windham,Wardsboro,VT,5355,Northeast
North Newton,Harvey,North Newton,KS,67117,Midwest
Lelia Lake,Donley,Lelia Lake,TX,79240,South
South Beach,Lincoln,South Beach,OR,97366,West
Lowndesville,Abbeville,Lowndesville,SC,29659,South
Wichita,Sedgwick,Wichita,KS,67217,Midwest
Midkiff,Lincoln,Midkiff,WV,25540,South
Dallas,Dallas,Dallas,TX,75210,South
Adkins,Bexar,Adkins,TX,78101,South
Highland,Doniphan,Highland,KS,66035,Midwest
San Jose,Santa Clara,San Jose,CA,95196,West
Tonasket,Okanogan,Tonasket,WA,98855,West
Richmond,Contra Costa,Richmond,CA,94850,West
Amarillo,Potter,Amarillo,TX,79103,South
Monterey Park,Los Angeles,Monterey Park,CA,91756,West
Meridian,Lauderdale,Meridian,MS,39305,South
Pelzer,Anderson,Pelzer,SC,29669,South
Barnes City,Mahaska,Barnes City,IA,50027,Midwest
Cook Springs,St. Clair,Cook Springs,AL,35052,South
West Charleston,Orleans,West Charleston,VT,5872,Northeast
Clayton,Norton,Clayton,KS,67629,Midwest
Munfordville,Hart,Munfordville,KY,42765,South
Mountain View,Kiowa,Mountain View,OK,73062,South
Alexandria,Fairfax,Alexandria,VA,22321,South
Harris,Rutherford,Harris,NC,28074,South
Waterloo,DeKalb,Waterloo,IN,46793,Midwest
Garden City,Glasscock,Garden City,TX,79739,South
Mc Andrews,Pike,Mc Andrews,KY,41543,South
Clearwater,Pinellas,Clearwater,FL,33758,South
Boerne,Bexar,Boerne,TX,78015,South
New Lisbon,Juneau,New Lisbon,WI,53950,Midwest
South Bend,St. Joseph,South Bend,IN,46612,Midwest
Waukee,Dallas,Waukee,IA,50263,Midwest
Haxtun,Phillips,Haxtun,CO,80731,West
Milesburg,Centre,Milesburg,PA,16853,Northeast
Magee,Simpson,Magee,MS,39111,South
Golden Gate,Wayne,Golden Gate,IL,62843,Midwest
Meadowview,Washington,Meadowview,VA,24361,South
Farmingdale,Nassau,Farmingdale,NY,11774,Northeast
Dunreith,Henry,Dunreith,IN,47337,Midwest
Denver,Denver,Denver,CO,80239,West
Jal,Lea,Jal,NM,88252,West
Mount Tremper,Ulster,Mount Tremper,NY,12457,Northeast
Glendon,Glendon,Glendon,NC,27251,South
Sandgap,Jackson,Sandgap,KY,40481,South
Ravensdale,King,Ravensdale,WA,98051,West
Springboro,Crawford,Springboro,PA,16435,Northeast
Manton,Wexford,Manton,MI,49663,Midwest
Amanda Park,Grays Harbor,Amanda Park,WA,98526,West
Canoga Park,Los Angeles,Canoga Park,CA,91305,West
Nova,Ashland,Nova,OH,44859,Midwest
Scaly Mountain,Macon,Scaly Mountain,NC,28775,South
Jackson,Hinds,Jackson,MS,39232,South
Miami,Miami-Dade,Miami,FL,33156,South
Mio,Oscoda,Mio,MI,48647,Midwest
Cheyenne,Laramie,Cheyenne,WY,82010,West
Milburn,Johnston,Milburn,OK,73450,South
Philadelphia,Philadelphia,Philadelphia,PA,19193,Northeast
Monterey,Berkshire,Monterey,MA,1245,Northeast
Gilbert,Searcy,Gilbert,AR,72636,South
Wesson,Copiah,Wesson,MS,39191,South
Taunton,Lyon,Taunton,MN,56291,Midwest
San Francisco,San Francisco,San Francisco,CA,94126,West
Hunter,Garfield,Hunter,OK,74640,South
Pismo Beach,San Luis Obispo,Pismo Beach,CA,93448,West
Eugene,Lane,Eugene,OR,97405,West
Des Moines,Polk,Des Moines,IA,50339,Midwest
Livermore,Alameda,Livermore,CA,94550,West
Harwood,Anne Arundel,Harwood,MD,20776,South
Brimfield,Hampden,Brimfield,MA,1010,Northeast
Talcott,Summers,Talcott,WV,24981,South
Dunbar,Marinette,Dunbar,WI,54119,Midwest
Campobello,Spartanburg,Campobello,SC,29322,South
Appleton,Swift,Appleton,MN,56208,Midwest
Houston,Harris,Houston,TX,77205,South
Clark,Mercer,Clark,PA,16113,Northeast
Port Edwards,Wood,Port Edwards,WI,54469,Midwest
Scottsdale,Maricopa,Scottsdale,AZ,85258,West
Dover Afb,Kent,Dover Afb,DE,19902,South
Carlisle,Sullivan,Carlisle,IN,47838,Midwest
Pingree,Stutsman,Pingree,ND,58476,Midwest
Neeses,Orangeburg,Neeses,SC,29107,South
Monango,Monango,Monango,ND,58471,Midwest
Chicago,Cook,Chicago,IL,60701,Midwest
Boone,Watauga,Boone,NC,28607,South
South Milford,LaGrange,South Milford,IN,46786,Midwest
Milwaukee,Milwaukee,Milwaukee,WI,53235,Midwest
Clearmont,Sheridan,Clearmont,WY,82835,West
Clyde,Nodaway,Clyde,MO,64432,Midwest
Bankston,Fayette,Bankston,AL,35542,South
Keithville,Caddo,Keithville,LA,71047,South
Shawnee Mission,Johnson,Shawnee Mission,KS,66223,Midwest
Masontown,Fayette,Masontown,PA,15461,Northeast
Albany,Albany,Albany,NY,12242,Northeast
Morganza,St. Mary's,Morganza,MD,20660,South
Berkeley,Alameda,Berkeley,CA,94709,West
Broken Arrow,Wagoner,Broken Arrow,OK,74014,South
Towaoc,Montezuma,Towaoc,CO,81334,West
Tilden,Randolph,Tilden,IL,62292,Midwest
San Rafael,Marin,San Rafael,CA,94912,West
Oxford,Chester,Oxford,PA,19363,Northeast
Boston,Suffolk,Boston,MA,2205,Northeast
Germantown,Montgomery,Germantown,MD,20875,South
Wagner,Charles Mix,Wagner,SD,57380,Midwest
Menasha,Winnebago,Menasha,WI,54952,Midwest
Lakeville,Oakland,Lakeville,MI,48366,Midwest
Burfordville,Cape Girardeau,Burfordville,MO,63739,Midwest
Walhalla,Oconee,Walhalla,SC,29691,South
Salem,Doña Ana,Salem,NM,87941,West
Round Rock,Williamson,Round Rock,TX,78683,South
Lyndora,Butler,Lyndora,PA,16045,Northeast
Thompson,Audrain,Thompson,MO,65285,Midwest
Bradenton,Manatee,Bradenton,FL,34280,South
Parkin,Cross,Parkin,AR,72373,South
El Dorado,El Dorado,El Dorado,CA,95623,West
Mount Auburn,Christian,Mount Auburn,IL,62547,Midwest
Louisville,Jefferson,Louisville,KY,40250,South
Tucker,DeKalb,Tucker,GA,30085,South
Shawnee Mission,Johnson,Shawnee Mission,KS,66219,Midwest
Inverness,Citrus,Inverness,FL,34452,South
Dallas,Dallas,Dallas,TX,75203,South
Helena,Phillips,Helena,AR,72342,South
Willow Grove,Montgomery,Willow Grove,PA,19090,Northeast
Exton,Chester,Exton,PA,19341,Northeast
Morton,Scott,Morton,MS,39117,South
Sykeston,Wells,Sykeston,ND,58486,Midwest
Wellsville,Montgomery,Wellsville,MO,63384,Midwest
Oak Grove,West Carroll,Oak Grove,LA,71263,South
Printer,Floyd,Printer,KY,41655,South
Bismarck,Burleigh,Bismarck,ND,58503,Midwest
Las Vegas,Clark,Las Vegas,NV,89122,West
Mason,Grant,Mason,KY,41054,South
Arvada,Jefferson,Arvada,CO,80004,West
Northome,Koochiching,Northome,MN,56661,Midwest
Bay Village,Cuyahoga,Bay Village,OH,44140,Midwest
Switzer,Logan,Switzer,WV,25647,South
Montrose,Los Angeles,Montrose,CA,91020,West
Oconto,Custer,Oconto,NE,68860,Midwest
Amarillo,Potter,Amarillo,TX,79174,South
Long Island,Cumberland,Long Island,ME,4050,Northeast
Fruitvale,Van Zandt,Fruitvale,TX,75127,South
Allen,Floyd,Allen,KY,41601,South
Commerce,Hunt,Commerce,TX,75429,South
Golden,Jefferson,Golden,CO,80402,West
Corpus Christi,Nueces,Corpus Christi,TX,78414,South
Battletown,Meade,Battletown,KY,40104,South
Ludowici,Long,Ludowici,GA,31316,South
Spanaway,Pierce,Spanaway,WA,98387,West
Rosiclare,Hardin,Rosiclare,IL,62982,Midwest
Emigrant,Park,Emigrant,MT,59027,West
Mount Vernon,Lawrence,Mount Vernon,MO,65712,Midwest
Kingfield,Franklin,Kingfield,ME,4947,Northeast
Washington,District of Columbia,Washington,DC,20003,South
Norfolk,Norfolk (city),Norfolk,VA,23515,South
Celina,Clay,Celina,TN,38551,South
Roma,Starr,Roma,TX,78584,South
Herron,Alpena,Herron,MI,49744,Midwest
Dora,Ozark,Dora,MO,65637,Midwest
Ellicott City,Howard,Ellicott City,MD,21041,South
Bulls Gap,Hawkins,Bulls Gap,TN,37711,South
Winterville,Aroostook,Winterville,ME,4788,Northeast
Stotts City,Lawrence,Stotts City,MO,65756,Midwest
Albany,Albany,Albany,NY,12214,Northeast
Woodbury,Litchfield,Woodbury,CT,6798,Northeast
Slayden,Dickson,Slayden,TN,37165,South
Monroeton,Bradford,Monroeton,PA,18832,Northeast
River Ranch,Polk,River Ranch,FL,33867,South
Pattison,Claiborne,Pattison,MS,39144,South
Frankfort,Franklin,Frankfort,KY,40604,South
Gainesville,Alachua,Gainesville,FL,32611,South
North Bloomfield,Trumbull,North Bloomfield,OH,44450,Midwest
Pilgrims Knob,Buchanan,Pilgrims Knob,VA,24634,South
Hookerton,Greene,Hookerton,NC,28538,South
Grand Forks,Grand Forks,Grand Forks,ND,58203,Midwest
Aldenville,Wayne,Aldenville,PA,18401,Northeast
Algonquin,McHenry,Algonquin,IL,60102,Midwest
Saint Petersburg,Pinellas,Saint Petersburg,FL,33715,South
Oldfield,Christian,Oldfield,MO,65720,Midwest
Macomb,Macomb,Macomb,MI,48042,Midwest
Cubero,Cibola,Cubero,NM,87014,West
Pecks Mill,Logan,Pecks Mill,WV,25547,South
Interlochen,Grand Traverse,Interlochen,MI,49643,Midwest
Springfield,Greene,Springfield,MO,65804,Midwest
Madison Lake,Blue Earth,Madison Lake,MN,56063,Midwest
Ucon,Bonneville,Ucon,ID,83454,West
Bowman,Orangeburg,Bowman,SC,29018,South
White Oak,Raleigh,White Oak,WV,25989,South
Brunsville,Plymouth,Brunsville,IA,51008,Midwest
Augusta,Richmond,Augusta,GA,30914,South
Hodgenville,Larue,Hodgenville,KY,42748,South
Redwood City,San Mateo,Redwood City,CA,94065,West
Sugar Land,Fort Bend,Sugar Land,TX,77479,South
Bremerton,Kitsap,Bremerton,WA,98310,West
Hamletsburg,Pope,Hamletsburg,IL,62944,Midwest
Amber,Grady,Amber,OK,73004,South
Spencer,Boyd,Spencer,NE,68777,Midwest
Lansing,Ingham,Lansing,MI,48937,Midwest
Mesquite,Clark,Mesquite,NV,89027,West
Valley Home,Valley Home,Valley Home,CA,95384,West
Bledsoe,Cochran,Bledsoe,TX,79314,South
Oklahoma City,Oklahoma,Oklahoma City,OK,73114,South
Miami,Miami-Dade,Miami,FL,33166,South
Islesford,Hancock,Islesford,ME,4646,Northeast
Sacramento,Sacramento,Sacramento,CA,95864,West
Vernal,Uintah,Vernal,UT,84079,West
Brinkley,Brinkley,Brinkley,KY,41805,South
Taloga,Dewey,Taloga,OK,73667,South
Pottstown,Montgomery,Pottstown,PA,19464,Northeast
Casanova,Casanova,Casanova,VA,22017,South
Basalt,Bingham,Basalt,ID,83218,West
Elizabeth,Allegheny,Elizabeth,PA,15037,Northeast
Houston,Harris,Houston,TX,77226,South
Versailles,Woodford,Versailles,KY,40383,South
Ettrick,Trempealeau,Ettrick,WI,54627,Midwest
Whitleyville,Jackson,Whitleyville,TN,38588,South
Memphis,Shelby,Memphis,TN,38159,South
Hollytree,Jackson,Hollytree,AL,35751,South
Washington,Hempstead,Washington,AR,71862,South
Paterson,Passaic,Paterson,NJ,7510,Northeast
Cardin,Ottawa,Cardin,OK,74335,South
Washington,District of Columbia,Washington,DC,20242,South
Coyanosa,Pecos,Coyanosa,TX,79730,South
Waterflow,San Juan,Waterflow,NM,87421,West
Rosalia,Whitman,Rosalia,WA,99170,West
Reidsville,Rockingham,Reidsville,NC,27320,South
West Des Moines,Polk,West Des Moines,IA,50265,Midwest
Antimony,Garfield,Antimony,UT,84712,West
Memphis,Shelby,Memphis,TN,38173,South
Bruington,King and Queen,Bruington,VA,23023,South
Nowata,Nowata,Nowata,OK,74048,South
Raleigh,Wake,Raleigh,NC,27601,South
Dallas Center,Dallas,Dallas Center,IA,50063,Midwest
Lemoore,Kings,Lemoore,CA,93246,West
Mountain Pine,Garland,Mountain Pine,AR,71956,South
Elgin,Wabasha,Elgin,MN,55932,Midwest
Detour,Detour,Detour,MD,21725,South
Waterloo,Black Hawk,Waterloo,IA,50702,Midwest
Henderson,Clark,Henderson,NV,89015,West
Altoona,Eau Claire,Altoona,WI,54720,Midwest
Bay Port,Huron,Bay Port,MI,48720,Midwest
Holcomb,Grenada,Holcomb,MS,38940,South
Desert Center,Riverside,Desert Center,CA,92239,West
Floyd,Floyd,Floyd,IA,50435,Midwest
Orange,Orange,Orange,CA,92859,West
San Diego,San Diego,San Diego,CA,92152,West
Americus,Sumter,Americus,GA,31719,South
Ponca City,Kay,Ponca City,OK,74604,South
Lockbourne,Pickaway,Lockbourne,OH,43137,Midwest
Honomu,Hawaii,Honomu,HI,96728,West
Pattonsburg,Daviess,Pattonsburg,MO,64670,Midwest
Groveton,Coos,Groveton,NH,3582,Northeast
Bolingbroke,Monroe,Bolingbroke,GA,31004,South
Richey,Dawson,Richey,MT,59259,West
Weymouth,Norfolk,Weymouth,MA,2190,Northeast
Hudson,Penobscot,Hudson,ME,4449,Northeast
Polk City,Polk,Polk City,FL,33868,South
Torbert,Pointe Coupee,Torbert,LA,70781,South
Lexington,Davidson,Lexington,NC,27292,South
Flint,Smith,Flint,TX,75762,South
Langford,Marshall,Langford,SD,57454,Midwest
Warfield,Martin,Warfield,KY,41267,South
Saum,Saum,Saum,MN,56674,Midwest
Somerset Center,Hillsdale,Somerset Center,MI,49282,Midwest
Decatur,Morgan,Decatur,AL,35602,South
Waterbury,New Haven,Waterbury,CT,6708,Northeast
Murray,Calloway,Murray,KY,42071,South
Minneola,Clark,Minneola,KS,67865,Midwest
Riverdale,Prince George's,Riverdale,MD,20737,South
Julian,Boone,Julian,WV,25529,South
Columbiana,Columbiana,Columbiana,OH,44408,Midwest
North River,Warren,North River,NY,12856,Northeast
Grady,Curry,Grady,NM,88120,West
Lander,Fremont,Lander,WY,82520,West
Freeport,Stearns,Freeport,MN,56331,Midwest
Milton,Sumner,Milton,KS,67106,Midwest
Corunna,Shiawassee,Corunna,MI,48817,Midwest
Vancouver,Clark,Vancouver,WA,98665,West
Adams,Berkshire,Adams,MA,1220,Northeast
Kenner,Kenner,Kenner,LA,70097,South
Tavernier,Monroe,Tavernier,FL,33070,South
Nashua,Hillsborough,Nashua,NH,3061,Northeast
Meyersdale,Somerset,Meyersdale,PA,15552,Northeast
Redford,Reynolds,Redford,MO,63665,Midwest
Salinas,Monterey,Salinas,CA,93902,West
Plum City,Pierce,Plum City,WI,54761,Midwest
Johnsonville,Wayne,Johnsonville,IL,62850,Midwest
Creswell,Washington,Creswell,NC,27928,South
Saranac,Clinton,Saranac,NY,12981,Northeast
Elkhart,Elkhart,Elkhart,IN,46517,Midwest
Evansville,Vanderburgh,Evansville,IN,47711,Midwest
Gladstone,Delta,Gladstone,MI,49837,Midwest
Las Vegas,Clark,Las Vegas,NV,89111,West
Phoenix,Maricopa,Phoenix,AZ,85070,West
San Ygnacio,Zapata,San Ygnacio,TX,78067,South
Oconee,Shelby,Oconee,IL,62553,Midwest
Grace City,Foster,Grace City,ND,58445,Midwest
Endicott,Broome,Endicott,NY,13760,Northeast
Broad Brook,Hartford,Broad Brook,CT,6016,Northeast
Williamsport,Lycoming,Williamsport,PA,17703,Northeast
Sunset,Montague,Sunset,TX,76270,South
Austin,Travis,Austin,TX,78748,South
Payson,Gila,Payson,AZ,85541,West
Dallas,Dallas,Dallas,TX,75350,South
Kiahsville,Wayne,Kiahsville,WV,25534,South
Horse Creek,Laramie,Horse Creek,WY,82061,West
New Church,Accomack,New Church,VA,23415,South
Whitmore Lake,Washtenaw,Whitmore Lake,MI,48189,Midwest
Manchester,Hillsborough,Manchester,NH,3111,Northeast
Dixie,Brooks,Dixie,GA,31629,South
Lowgap,Surry,Lowgap,NC,27024,South
Madison,Dane,Madison,WI,53704,Midwest
Ary,Perry,Ary,KY,41712,South
Saint Leo,Saint Leo,Saint Leo,MN,56286,Midwest
Mc Kinney,Lincoln,Mc Kinney,KY,40448,South
Mannsville,Taylor,Mannsville,KY,42758,South
Hampden,Hampden,Hampden,MA,1036,Northeast
Belhaven,Beaufort,Belhaven,NC,27810,South
Town Creek,Lawrence,Town Creek,AL,35672,South
Oatman,Mohave,Oatman,AZ,86433,West
Nichols,Outagamie,Nichols,WI,54152,Midwest
Wilsons,Dinwiddie,Wilsons,VA,23894,South
Augusta,Kennebec,Augusta,ME,4336,Northeast
Kingman,Kingman,Kingman,AZ,86409,West
Wickhaven,Fayette,Wickhaven,PA,15492,Northeast
Brookston,St. Louis,Brookston,MN,55711,Midwest
Northville,Spink,Northville,SD,57465,Midwest
Albany,Gentry,Albany,MO,64402,Midwest
Westminster,Windham,Westminster,VT,5158,Northeast
Jefferson City,Cole,Jefferson City,MO,65104,Midwest
Brownsville,Union,Brownsville,IN,47325,Midwest
Lonoke,Lonoke,Lonoke,AR,72086,South
Post,Garza,Post,TX,79356,South
Hawk Run,Clearfield,Hawk Run,PA,16840,Northeast
Tuskegee,Macon,Tuskegee,AL,36083,South
Kermit,Winkler,Kermit,TX,79745,South
Fork,Dillon,Fork,SC,29543,South
Evansville,Natrona,Evansville,WY,82636,West
Havertown,Delaware,Havertown,PA,19083,Northeast
Newport Beach,Orange,Newport Beach,CA,92659,West
Avon,Powell,Avon,MT,59713,West
Wilmington,New Castle,Wilmington,DE,19887,South
Oklahoma City,Cleveland,Oklahoma City,OK,73165,South
Grizzly Flats,El Dorado,Grizzly Flats,CA,95636,West
Roberta,Crawford,Roberta,GA,31078,South
Gilbertsville,Marshall,Gilbertsville,KY,42044,South
Huntsville,Madison,Huntsville,AL,35814,South
Valle Crucis,Watauga,Valle Crucis,NC,28691,South
Mount Pleasant,Gadsden,Mount Pleasant,FL,32352,South
Dallas,Dallas,Dallas,TX,75253,South
Revelo,McCreary,Revelo,KY,42638,South
Dille,Clay,Dille,WV,26617,South
Metz,Marion,Metz,WV,26585,South
Sheffield,Bureau,Sheffield,IL,61361,Midwest
Washington,District of Columbia,Washington,DC,20241,South
San Diego,San Diego,San Diego,CA,92123,West
Victor,San Joaquin,Victor,CA,95253,West
Van Buren,Carter,Van Buren,MO,63965,Midwest
Albany,Albany,Albany,NY,12248,Northeast
West Bend,West Bend,West Bend,WI,53096,Midwest
Burlington,Calhoun,Burlington,MI,49029,Midwest
Tyler,Smith,Tyler,TX,75702,South
Trampas,Taos,Trampas,NM,87576,West
Fordland,Webster,Fordland,MO,65652,Midwest
Charlotte,Mecklenburg,Charlotte,NC,28280,South
Spring Church,Armstrong,Spring Church,PA,15686,Northeast
Dewar,Black Hawk,Dewar,IA,50623,Midwest
Morrisville,Madison,Morrisville,NY,13408,Northeast
Montrose,Montrose,Montrose,CO,81402,West
Columbus,Warren,Columbus,PA,16405,Northeast
Ogallah,Trego,Ogallah,KS,67656,Midwest
Pittsboro,Calhoun,Pittsboro,MS,38951,South
Arnett,Raleigh,Arnett,WV,25007,South
Larrabee,Cherokee,Larrabee,IA,51029,Midwest
Canoga Park,Los Angeles,Canoga Park,CA,91305,West
Maryville,Blount,Maryville,TN,37801,South
Portis,Osborne,Portis,KS,67474,Midwest
Clovis,Curry,Clovis,NM,88102,West
Maine,Broome,Maine,NY,13802,Northeast
Little Rock,Pulaski,Little Rock,AR,72207,South
Ravenwood,Nodaway,Ravenwood,MO,64479,Midwest
Rancho Cucamonga,San Bernardino,Rancho Cucamonga,CA,91730,West
Union Church,Jefferson,Union Church,MS,39668,South
Ionia,Ontario,Ionia,NY,14475,Northeast
Gadsden,Etowah,Gadsden,AL,35905,South
Montgomery,Montgomery,Montgomery,AL,36136,South
Copenhagen,Lewis,Copenhagen,NY,13626,Northeast
Louisville,Jefferson,Louisville,KY,40268,South
Greenville,Augusta,Greenville,VA,24440,South
Hubert,Onslow,Hubert,NC,28539,South
Roma,Starr,Roma,TX,78584,South
Tatums,Carter,Tatums,OK,73487,South
Seattle,King,Seattle,WA,98136,West
Burbank,Los Angeles,Burbank,CA,91523,West
Manasota,Manatee,Manasota,FL,34260,South
Green Bay,Brown,Green Bay,WI,54344,Midwest
Buffalo,Wright,Buffalo,MN,55313,Midwest
Rio Vista,Johnson,Rio Vista,TX,76093,South
Eola,Concho,Eola,TX,76937,South
West Farmington,Trumbull,West Farmington,OH,44491,Midwest
Showell,Worcester,Showell,MD,21862,South
Mount Moriah,Harrison,Mount Moriah,MO,64665,Midwest
Huron,Lawrence,Huron,IN,47437,Midwest
Fort Lauderdale,Broward,Fort Lauderdale,FL,33309,South
Tampa,Hillsborough,Tampa,FL,33633,South
Peever,Roberts,Peever,SD,57257,Midwest
Huslia,Yukon-Koyukuk (CA),Huslia,AK,99746,West
Birmingham,Birmingham,Birmingham,AL,35275,South
Galesburg,Neosho,Galesburg,KS,66740,Midwest
Mcallen,Hidalgo,Mcallen,TX,78502,South
Levittown,Bucks,Levittown,PA,19059,Northeast
Burbank,Los Angeles,Burbank,CA,91521,West
Alexandria,Fairfax,Alexandria,VA,22315,South
Donnelly,Valley,Donnelly,ID,83615,West
Brooklyn,Kings,Brooklyn,NY,11232,Northeast
Malden,Bureau,Malden,IL,61337,Midwest
Pawling,Dutchess,Pawling,NY,12564,Northeast
Lafayette,Tippecanoe,Lafayette,IN,47905,Midwest
Linwood,Linwood,Linwood,NJ,8227,Northeast
Owensboro,Daviess,Owensboro,KY,42301,South
Hereford,Deaf Smith,Hereford,TX,79045,South
Farmerville,Union,Farmerville,LA,71241,South
Byron,Thayer,Byron,NE,68325,Midwest
